,JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
,BOM name：bom-JLCPCB Assembly Order.xlsx,,,Download Time：2025-12-23 12:14:10,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
,PCB Assembled Qty：2,,,Est. Total Price：51.2548,,,,,,,,,,,,,,
,Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Component,Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part #,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
Capacitor(6.8pF),C39,,2.2uF,201,,Select by System,GRM033R61A225ME47D,Murata Electronics,201,10V 2.2uF X5R ±20% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C319184,https://jlcpcb.com/partdetail/300450-GRM033R61A225ME47D/C319184,Extended,20,20 JLCPCB,0.192
SD Card reader,CARD1,,TF-01A,TF-SMD_TF-01A,,Select by System,TF-01A,Korean Hroparts Elec,SMD,1.85mm Connector and Ejector MicroSD Card (TF Card) Push-Push With Locating Post SMD SD Card / Memory Card Connector ROHS,SD Card / Memory Card Connector,,C91145,https://jlcpcb.com/partdetail/Korean_HropartsElec-TF01A/C91145,Extended,2,2 JLCPCB,0.3418
LED,D1,,LED,402,,Unconfirmed,XL-1005UGC,XINGLIGHT,402,-40℃~+85℃ 120° 249mcd 25mA 3V 516nm~531nm 531nm 80mW Emerald Green Top-mount Water Clear 0402 LED Indication - Discrete ROHS,LED Indication - Discrete,1.The comment (XL-1005UGC) of this part does not match the one (LED) provided in your BOM. Please confirm;,C965793,https://jlcpcb.com/partdetail/XINGLIGHT-XL1005UGC/C965793,Extended,20,20 JLCPCB,0.136
Screw terminal 1x02,J1,,Screw_Terminal_01x02,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,,Select by Customer,XY308-2.54-2P,Ningbo Xinlaiya Elec.,"插件,P=2.54mm","1 1 150V 18~26 1x2P 2 2.54mm 2P 6A Green M1.6 Through Hole Plugin,P=2.54mm Screw Terminal Blocks ROHS",Screw Terminal Blocks,,C557685,https://jlcpcb.com/partdetail/Ningbo_Xinlaiya_Elec-XY308_2_542P/C557685,Extended,2,2 JLCPCB,0.4536
Pin headers 1x03 2.54mm,"J2,J3",,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,,Select by Customer,2.54-1*3P针,BOOMELE(Boom Precision Elec),"插件,P=2.54mm","-40℃~+105℃ 1 1x3P 2.54mm 2.5mm 3A 3P 3mm 6mm Black Brass Gold Pin Header Through Hole Plugin,P=2.54mm Pin Headers ROHS",Pin Headers,,C49257,https://jlcpcb.com/partdetail/50265-2_54_1_3P/C49257,Extended,6,6 JLCPCB,0.099
Inductor(1uH),L1,,1uH,L2520,,Select by System,DFE252012F-1R0M=P2,Murata Electronics,1008,1uH 3.3A 4.7A 40mΩ ±20% 1008 Power Inductors ROHS,Power Inductors,,C435392,https://jlcpcb.com/partdetail/MurataElectronics-DFE252012F_1R0MP2/C435392,Extended,5,5 JLCPCB,0.498
Inductor(1.5uH),L2,,1.5uH,IND-SMD_L4.0-W4.0-A,,Select by System,XGL4020-152MEC,Coilcraft,"SMD,4x4mm","1.5uH 14.3mΩ 7.5A AEC-Q200 Magnetic Shielded Inductor ±20% SMD,4x4mm Power Inductors ROHS",Power Inductors,,C7417180,https://jlcpcb.com/partdetail/Coilcraft-XGL4020152MEC/C7417180,Extended,2,2 JLCPCB,2.59
Inductor(5.6uH),L3,,5.6uH,IND-SMD_L3.0-W3.0,,Select by System,CKCS3015-5.6uH/M,CENKER,"SMD,3x3mm","165mΩ 1A 5.6uH 900mA Magnetic Shielded Inductor ±20% SMD,3x3mm Power Inductors ROHS",Power Inductors,,C5120864,https://jlcpcb.com/partdetail/CENKER-CKCS3015_5_6uHM/C5120864,Extended,15,15 JLCPCB,0.4755
Ferrite bead,L4,,FCM1608KF-601T03,L0603,,Select by System,FCM1608KF-601T03,TAI-TECH,603,-55℃~+125℃ 1 350mA 500mΩ 600Ω@100MHz ±25% 0603 Ferrite Beads ROHS,Ferrite Beads,,C141723,https://jlcpcb.com/partdetail/TAITECH-FCM1608KF601T03/C141723,Extended,20,20 JLCPCB,0.092
Resistor(5.1k),"R1,R2",,5.1K,201,,Unconfirmed,0201WMF5101TEE,UNI-ROYAL(Uniroyal Elec),201,-55℃~+155℃ 25V 5.1kΩ 50mW Thick Film Resistor ±1% ±200ppm/℃ 0201 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0201WMF5101TEE) of this part does not match the one (5.1K) provided in your BOM. Please confirm;,C270344,https://jlcpcb.com/partdetail/259874-0201WMF5101TEE/C270344,Extended,20,20 JLCPCB,0.014
Resistor(5.23k),R4,,5.23K,201,,Unconfirmed,RTT015231FTH,RALEC,201,-55℃~+125℃ 25V 5.23kΩ 50mW Thick Film Resistor ±1% ±200ppm/℃ 0201 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (RTT015231FTH) of this part does not match the one (5.23K) provided in your BOM. Please confirm;,C332546,https://jlcpcb.com/partdetail/RALEC-RTT015231FTH/C332546,Extended,20,20 JLCPCB,0.02
Resistor(30.1k),R5,,30.1K,201,,Unconfirmed,RC-01W3012FT,FH (Guangdong Fenghua Advanced Tech),201,-55℃~+125℃ 25V 30.1kΩ 50mW Thick Film Resistor ±1% ±200ppm/℃ 0201 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (RC-01W3012FT) of this part does not match the one (30.1K) provided in your BOM. Please confirm;,C320818,https://jlcpcb.com/partdetail/301723-RC01W3012FT/C320818,Extended,20,20 JLCPCB,0.012
Resistor(383ohm),R7,,383,201,,Select by Customer,0201WMF3830TEE,UNI-ROYAL(Uniroyal Elec),201,-55℃~+155℃ 25V 383Ω 50mW Thick Film Resistor ±1% ±200ppm/℃ 0201 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0201WMF3830TEE) of this part does not match the one (383) provided in your BOM. Please confirm;,C423551,https://jlcpcb.com/partdetail/416501-0201WMF3830TEE/C423551,Extended,20,20 JLCPCB,0.01
Resistor(10k),"R10,R11,R12,R13,R17,R18,R19,R20,R21,R22,R23,R3,R6,R8,R9",,10K,201,,Unconfirmed,RC0201FR-0710KL,YAGEO,201,-55℃~+125℃ 10kΩ 25V 50mW Thick Film Resistor ±1% ±200ppm/℃ 0201 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (RC0201FR-0710KL) of this part does not match the one (10K) provided in your BOM. Please confirm;,C106225,https://jlcpcb.com/partdetail/YAGEO-RC0201FR0710KL/C106225,Extended,42,42 JLCPCB,0.0378
Resistor(100k),R14,,100K,402,,Unconfirmed,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),402,-55℃~+155℃ 100kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1003TCE) of this part does not match the one (100K) provided in your BOM. Please confirm;,C25741,https://jlcpcb.com/partdetail/26484-0402WGF1003TCE/C25741,Basic,20,20 JLCPCB,0.012
Resistor(22.1k),R15,,22.1K,201,,Unconfirmed,WR02X2212FAL,Walsin Tech Corp,201,-55℃~+125℃ 22.1kΩ 25V 50mW Thick Film Resistor ±1% ±200ppm/℃ 0201 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (WR02X2212FAL) of this part does not match the one (22.1K) provided in your BOM. Please confirm;,C384418,https://jlcpcb.com/partdetail/Walsin_TechCorp-WR02X2212FAL/C384418,Extended,20,20 JLCPCB,0.016
Switch(Boot and Reset),"SW1,SW2",,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,,Select by System,TS-1088-AR02016,XUNPU,"SMD,4x3mm","-30℃~+80℃ 1.6N 100,000 Cycles 12V 2mm 3mm 4mm 50mA Black Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,4x3mm Tactile Switches ROHS",Tactile Switches,,C720477,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477,Basic,8,8 JLCPCB,0.3448
STM32F103RET6,U1,,STM32F722RETx,LQFP-64_10x10mm_P0.5mm,,Select by Customer,STM32F722RET6,STMicroelectronics,LQFP-64(10x10),-40℃~+85℃ 1.7V~3.6V 12bit 12bit 216MHz 256KB 32 Bit 50 512KB ARM Cortex-M7 Built-in FLASH LQFP-64(10x10) Microcontrollers (MCU/MPU/SOC) ROHS,Microcontrollers (MCU/MPU/SOC),,C118207,https://jlcpcb.com/partdetail/STMicroelectronics-STM32F722RET6/C118207,Extended,2,2 JLCPCB,10.0314
Charging IC,U2,,BQ25883RGER,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,,Select by System,BQ25883RGER,Texas Instruments,VQFN-24-EP(4x4),-40℃~+85℃ 12uA 2 2.2A 3.9V~6.2V 8.4V Charging IC I2C Lithium Battery Support Support VQFN-24-EP(4x4) Battery Management ROHS,Battery Management,,C544362,https://jlcpcb.com/partdetail/TexasInstruments-BQ25883RGER/C544362,Extended,2,2 JLCPCB,9.1732
BMP580,U4,,BMP580,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,,Select by System,BMP580,Bosch Sensortec,LGA-10(2x2),-40℃~+85℃ 0.5pa/K 1.73V~3.6V 30Kpa~1.25bar 5.5uA 6pa 75pa I2C LGA-10(2x2) Pressure Sensors ROHS,Pressure Sensors,,C22391138,https://jlcpcb.com/partdetail/BoschSensortec-BMP580/C22391138,Extended,2,2 JLCPCB,2.1092
Buck Boost,U5,,TPS63070RNMR,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,,Select by System,TPS63070RNMR,Texas Instruments,VQFN-15-HR(2.5x3),-40℃~+125℃@(TJ) 1 2.4MHz 2.5V~9V 2A 2V~16V 50uA Adjustable Buck-Boost Buck-Boost Built-in Yes VQFN-15-HR(2.5x3) DC-DC Converters ROHS,DC-DC Converters,,C109322,https://jlcpcb.com/partdetail/TexasInstruments-TPS63070RNMR/C109322,Extended,2,2 JLCPCB,1.668
Buck Converter,U6,,LMR51430,SOT-23-6,,Select by System,LMR51430YFDDCR,Texas Instruments,SOT-23-6-THIN(DDC),-40℃~+150℃ 1 1.1MHz 3A 4.5V~36V 40uA 600mV~34.2V Adjustable Buck Buck Built-in Yes SOT-23-6-THIN(DDC) DC-DC Converters ROHS,DC-DC Converters,,C5219261,https://jlcpcb.com/partdetail/TexasInstruments-LMR51430YFDDCR/C5219261,Extended,2,2 JLCPCB,1.8566
ICM45605,U7,,ICM-45605,LGA-14_L3.0-W2.5-P0.50-TL,,Select by Customer,ICM-45605,TDK InvenSense,LGA-14,"-40℃~+85℃ 16bit 2.2uA 2KB IMU SPI X,Y,Z X,Y,Z ±16g ±2000dps LGA-14 Accelerometers ROHS",,,C38673635,https://jlcpcb.com/partdetail/TDKInvenSense-ICM45605/C38673635,Extended,2,2 JLCPCB,17.6644
USB-C port,USB1,,TYPE-C16PIN2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,,Select by System,TYPE-C 16PIN 2MD(073),SHOU HAN,SMD,"-25℃~+85℃ 1 16P 3A 5,000 times 5V Black Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS",USB Connectors,,C2765186,https://jlcpcb.com/partdetail/SHOUHAN-TYPE_C_16PIN_2MD_073/C2765186,Extended,3,3 JLCPCB,0.1842
Crystal(25MHz),X1,,X322525MOB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,,Select by System,X322525MOB4SI,YXC Crystal Oscillators,SMD3225-4P,-40℃~+85℃ 12pF 25MHz Crystal Oscillator ±10ppm ±20ppm SMD3225-4P Crystals ROHS,Crystals,,C9006,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322525MOB4SI/C9006,Basic,6,6 JLCPCB,0.399
Crystal(32.768kHz),X2,,X321532768KGD2SI,OSC-SMD_L3.2-W1.5,,Select by System,X321532768KGD2SI,YXC Crystal Oscillators,SMD3215-2P,-40℃~+85℃ 12.5pF 32.768kHz Crystal Oscillator ±20ppm ±30ppm SMD3215-2P Crystals ROHS,Crystals,,C620155,https://jlcpcb.com/partdetail/649983-X321532768KGD2SI/C620155,Extended,5,5 JLCPCB,1.0615
,,,,,,,,,,,,,,,,,Sum per board,51.2548
,,,,,,,,,,,,,,,,,Final Sun,102.5096
